Time,Bandwidth,Jitter,Packet Loss,Distance
269.9,174,37.093,50,845
314.2,37.4,0,12,845.24
338,278,297.433,22,845.95
344.3,922,180.113,75,847.14
350.2,772,122.73,64,848.79
354.1,731,86.17,61,850.92
357.2,560,64.148,77,853.51
389.6,151,202.05,23,856.56
519.6,430,34.581,86,860.07
563.9,250,82.711,55,864.03
580.9,162,132.817,36,868.43
594.6,336,22.177,77,873.27
608.3,290,19.79,68,878.54
622.3,265,50.766,64,884.23
637.1,369,27.06,91,890.34
649.4,344,36.399,86,896.85
662.2,249,33.695,64,903.76
677.2,260,36.984,68,911.05
695,220,183.359,59,918.73
791.1,178,657.649,55,926.77
821.5,129,620.122,41,935.17
834.6,254,325.08,82,943.92
856.7,110,123.726,36,953.01
872.2,162,293.233,55,962.43
902.8,26.1,662.331,9,972.17
943.9,137,433.997,50,982.22
